1, 6, 11, 1, 345, 1, [1 2 3 4], NA
2, 8, 12, 3, 2100, 1, [5 6 7 8], 21
3, 8, 13, 2, 1500, 0, [9 10 11], 22
4, 6, 14, 5, 2700, 1, [13 14 15], NA
5, 6, 15, 6, 1800, 0, [17 18], NA
6, 6, 16, 4, 600, 1, [21 22 23 24], NA
7, 8, 17, 10, 500, 0, [25 26 27], 23
8, 6, 18, 9, 800, 1, [29 30 31 32], NA
9, 6, 19, 8, 1200, 1, [33 34], NA
11, 8, 20, 7, 2500, 1, [1 38 39], 24
12, 8, 17, 10, 500, 0, [7 26 27], 23
13, 6, 18, 9, 800, 0, [9 30 31 32], NA
14, 6, 19, 8, 1200, 0, [8 34], NA
15, 8, 20, 7, 2500, 1, [7 38 39], 24
